img_name;folder;image;section;dist;extent;slope;pwp_limit;pwp_middle
Pieza_01_foto00_0;1;0;0;14;0.6109375;0.05637476769006329;0.5190261314655172;0.49525188577586204
Pieza_01_foto00_1;1;0;1;4;0.32578125;0.018355873467943068;0.5012777453271028;0.4986492406542056
Pieza_01_foto00_2;1;0;2;36;0.8248521959459459;0.10591072722151913;0.5799057904411765;0.4811580882352941
Pieza_01_foto00_3;1;0;3;4;0.54765625;-0.004431792198762802;0.5070754716981132;0.5047169811320755
Pieza_01_foto00_4;1;0;4;8;0.5427517361111112;0.01018779893995307;0.494552752293578;0.4869911123853211
Pieza_01_foto0118_0;1;118;0;3;0.39208984375;-0.002193685717339878;0.5201380461165048;0.5176729368932039
Pieza_01_foto0118_1;1;118;1;4;0.519921875;0.007747514510001677;0.6059835271317829;0.6031068313953488
Pieza_01_foto0118_2;1;118;2;9;0.641796875;0.030224813979384365;0.5269137041284404;0.5077408256880734
Pieza_01_foto0118_3;1;118;3;4;0.569921875;0.007749996085860565;0.513159890776699;0.5105810072815534
Pieza_01_foto0118_4;1;118;4;5;0.3701171875;0.018161579060106677;0.5069568452380953;0.5036830357142857
Pieza_01_foto0119_0;1;119;0;4;0.545703125;-0.0015015283413474425;0.5166766826923077;0.5149864783653846
Pieza_01_foto0119_1;1;119;1;4;0.651953125;0.01174080636371677;0.5119767099056604;0.5055645636792453
Pieza_01_foto0119_2;1;119;2;4;0.4625;-0.0016986716824869143;0.5127328725961539;0.5119065504807693
Pieza_01_foto0119_3;1;119;3;6;0.5251116071428571;0.009757486441277495;0.5252800707547169;0.521484375
Pieza_01_foto0119_4;1;119;4;6;0.4896763392857143;0.01072186503127722;0.5181439836448598;0.513142523364486
Pieza_01_foto0138_0;1;138;0;28;0.4076643318965517;0.11607514492821602;0.4805595930232558;0.44358648255813954
Pieza_01_foto0138_1;1;138;1;27;0.27992466517857145;0.022168658235745816;0.46081349206349204;0.44072420634920634
Pieza_01_foto0138_2;1;138;2;7;0.684814453125;-0.00534725706674757;0.4590198863636364;0.45131392045454544
Pieza_01_foto0138_3;1;138;3;28;0.27902747844827586;-0.031607622099400816;0.45115649606299213;0.43162524606299213
Pieza_01_foto0138_4;1;138;4;10;0.3142755681818182;0.023503012401506984;0.39464873120300753;0.39071311090225563
Pieza_01_foto0152_0;1;152;0;4;0.511328125;-0.00714985382131378;0.5055147058823529;0.5040211397058824
Pieza_01_foto0152_1;1;152;1;4;0.562890625;0.008450328771992179;0.5126116071428571;0.5107514880952381
Pieza_01_foto0152_2;1;152;2;4;0.32890625;0.006258057467496996;0.5063100961538461;0.5055213341346154
Pieza_01_foto0152_3;1;152;3;4;0.398046875;-0.006362702498129038;0.5096529447115384;0.5089017427884616
Pieza_01_foto0152_4;1;152;4;3;0.623046875;-0.004411060577308551;0.5;0.4927563713592233
Pieza_01_foto0153_0;1;153;0;4;0.416015625;-0.0048762282923539456;0.5056175595238095;0.5036458333333333
Pieza_01_foto0153_1;1;153;1;3;0.33544921875;0.002329639848573409;0.5033428485576923;0.5003756009615384
Pieza_01_foto0153_2;1;153;2;10;0.35102982954545453;0.01730341049893799;0.49897017045454545;0.49137073863636366
Pieza_01_foto0153_3;1;153;3;3;0.564453125;0.003873600642255028;0.5119030070754716;0.5074071344339622
Pieza_01_foto0153_4;1;153;4;3;0.6416015625;0.00224096187779556;0.4957873774509804;0.4892003676470588
Pieza_01_foto0184_0;1;184;0;4;0.599609375;-0.0008838500738291613;0.514360119047619;0.5107514880952381
Pieza_01_foto0184_1;1;184;1;5;0.5953776041666666;-0.008660498022200149;0.4886754587155963;0.4795011467889908
Pieza_01_foto0184_2;1;184;2;4;0.487890625;0.00618949755509886;0.5042747641509434;0.5033903301886793
Pieza_01_foto0184_3;1;184;3;1;0.384765625;-0.0006888460751918545;0.5075827205882353;0.5075827205882353
Pieza_01_foto0184_4;1;184;4;10;0.5191761363636364;0.032332034477098245;0.511027378318584;0.5017629977876106
Pieza_01_foto0185_0;1;185;0;3;0.52490234375;-0.002046948177029734;0.5057663690476191;0.5002604166666667
Pieza_01_foto0185_1;1;185;1;5;0.3828125;0.008823289069775704;0.5168297313084113;0.5134710864485982
Pieza_01_foto0185_2;1;185;2;2;0.4954427083333333;0.0015403556310117433;0.5146292892156863;0.5146292892156863
Pieza_01_foto0185_3;1;185;3;5;0.5992838541666666;-0.004416959238831691;0.5104910714285714;0.5013020833333334
Pieza_01_foto0185_4;1;185;4;8;0.7267795138888888;0.006858494571039775;0.5095409292035398;0.4944690265486726
Pieza_01_foto0219_0;1;219;0;6;0.5368303571428571;-0.01660328298872009;0.5120907738095238;0.5095610119047619
Pieza_01_foto0219_1;1;219;1;4;0.4015625;-0.011868086875627844;0.4954366238317757;0.49379380841121495
